END_TIME,M_TMSI,POS_LAST_LON,POS_LAST_LAT
2017-11-13 12:53:49,C020AEBD,11.558139,48.102061
2017-11-13 12:54:21,C020AEBD,11.557347,48.102176
2017-11-13 12:55:35,C020AEBD,11.554643,48.099852
2017-11-13 12:55:55,C020AEBD,11.559246,48.099049
2017-11-13 12:56:24,C020AEBD,11.559256,48.098769
2017-11-13 12:56:39,C020AEBD,11.559191,48.098996
2017-11-13 12:56:49,C020AEBD,11.559029,48.099175
2017-11-13 12:57:07,C020AEBD,11.558799,48.098782
2017-11-13 12:57:39,C020AEBD,11.558861,48.098965
2017-11-13 12:58:54,C020AEBD,11.558304,48.099763
2017-11-13 12:59:10,C020AEBD,11.558001,48.099536
2017-11-13 13:51:47,C026E567,11.568357,48.188752
2017-11-13 13:52:10,C026E567,11.569391,48.188347
2017-11-13 17:25:50,C0881094,11.493562,48.130599
2017-11-13 17:26:28,C0881094,11.496902,48.12781
2017-11-13 17:27:24,C0881094,11.495585,48.127235
2017-11-13 17:28:44,C0881094,11.495857,48.130484
2017-11-13 17:31:10,C0881094,11.493911,48.131172
2017-11-13 17:31:33,C0881094,11.492997,48.128973
2017-11-13 17:31:56,C0881094,11.493409,48.128157
2017-11-13 17:32:24,C0881094,11.493633,48.13058
2017-11-13 17:33:18,C0881094,11.496374,48.130292
2017-11-13 17:34:07,C0881094,11.494774,48.126689
2017-11-13 17:35:12,C0881094,11.496897,48.127654
2017-11-13 17:35:43,C0881094,11.497568,48.130421
2017-11-13 17:36:24,C0881094,11.495267,48.130769
2017-11-13 17:36:46,C0881094,11.492221,48.129515
2017-11-13 17:37:26,C0881094,11.496693,48.128592
2017-11-13 17:37:55,C0881094,11.492715,48.129756
2017-11-13 17:38:29,C0881094,11.495202,48.131287
2017-11-13 17:39:19,C0881094,11.49325,48.127743
2017-11-13 17:39:43,C0881094,11.493311,48.12784
2017-11-13 17:40:02,C0881094,11.494277,48.127831
2017-11-13 17:40:16,C0881094,11.495073,48.127285
2017-11-13 17:40:49,C0881094,11.497409,48.128059
2017-11-13 17:41:16,C0881094,11.495832,48.131237
2017-11-13 17:41:47,C0881094,11.492507,48.128681
2017-11-13 17:42:02,C0881094,11.495657,48.131302
2017-11-13 17:43:49,C0881094,11.494353,48.131213
2017-11-13 17:44:41,C0881094,11.497125,48.127888
2017-11-13 17:45:05,C0881094,11.496471,48.131102
2017-11-13 17:45:43,C0881094,11.49528,48.127478
2017-11-13 17:46:12,C0881094,11.494991,48.128886
2017-11-13 17:46:46,C0881094,11.493812,48.131187
2017-11-13 07:49:01,C129A36A,11.558792,48.098888
2017-11-13 07:50:29,C129A36A,11.559495,48.099006
2017-11-13 07:50:41,C129A36A,11.549104,48.099574
2017-11-13 15:02:58,C31040DA,11.477024,48.217788
2017-11-13 15:06:12,C31040DA,11.476501,48.217705
2017-11-13 15:11:45,C31040DA,11.4766,48.217334
2017-11-13 15:15:32,C31040DA,11.476621,48.217544
2017-11-13 15:19:42,C31040DA,11.475866,48.217367
2017-11-13 15:20:35,C31040DA,11.477317,48.217157
2017-11-13 15:25:42,C31040DA,11.476592,48.217652
2017-11-13 08:12:30,C4198E15,11.49999,48.174235
2017-11-13 19:05:37,C52F0A8A,11.624661,48.133622
2017-11-13 19:10:38,C52F0A8A,11.624675,48.133577
2017-11-13 19:12:07,C52F0A8A,11.624659,48.133676
2017-11-13 19:12:19,C52F0A8A,11.624661,48.133621
2017-11-13 19:13:21,C52F0A8A,11.624661,48.133622
2017-11-13 19:14:20,C52F0A8A,11.624661,48.133622
2017-11-13 19:15:21,C52F0A8A,11.624659,48.133676
2017-11-13 19:15:40,C52F0A8A,11.624809,48.133974
2017-11-13 19:16:19,C52F0A8A,11.624667,48.13368
2017-11-13 19:17:11,C52F0A8A,11.624666,48.133645
2017-11-13 19:17:58,C52F0A8A,11.624704,48.13363
2017-11-13 19:20:42,C52F0A8A,11.624696,48.133625
2017-11-13 19:25:43,C52F0A8A,11.624702,48.133572
2017-11-13 19:26:50,C52F0A8A,11.624696,48.133625
2017-11-13 19:27:07,C52F0A8A,11.624688,48.133671
2017-11-13 19:29:44,C52F0A8A,11.624702,48.133572
2017-11-13 19:30:44,C52F0A8A,11.624683,48.133606
2017-11-13 15:47:09,C52F0A8A,11.624683,48.133633
